,id,tags,category,view,likes,comments,Title,datePublished
317,H6fmVB39qK0,"['English', 'Foreign policy', 'Humanities', 'International Affairs', 'Success', 'TEDxTalks', '[TEDxEID:47582]']",29,505,10,1,Diplomat’s Transformations in a Changing World | H.E. Dr. Michal Mlynar | TEDxWaterStreet,2022-07-01T16:34:52Z
318,yaRzIlO2k6I,"['Ancient world', 'Environment', 'Health', 'Humanities', 'Multiple languages', 'TEDxTalks', '[TEDxEID:46725]']",29,670,15,1,Why We All Have Sacred Healing Work To Do And How To Do It | Sharlene Maoate-Davis | TEDxKapiti,2022-07-01T16:31:06Z
319,bFjQgt8fet4,"['Big Data', 'COVID-19', 'Disease', 'English', 'Epidemiology', 'Public health', 'TEDxTalks', 'Technology', '[TEDxEID:47582]']",29,515,13,3,The Future of Human and Economic Resilience | Eric Klasson | TEDxWaterStreet,2022-07-01T16:27:49Z
320,VH6i19XUZEw,"['Big Data', 'English', 'Freedom', 'Future', 'Global Issues', 'Government', 'TEDxTalks', '[TEDxEID:47582]']",29,522,17,39,Future Is Now | Brock Pierce | TEDxWaterStreet,2022-07-01T16:26:25Z
321,bWky1FrHKiY,"['Climate Change', 'English', 'Global Issues', 'Mental health', 'TEDxTalks', '[TEDxEID:46725]']",29,864,40,4,The Dual Crisis of Climate and Mental Health | Nadine Hura | TEDxKapiti,2022-07-01T16:25:48Z
322,ommeOCta-Ck,"['Idea Challenge', 'Ideas', 'Identity', 'Life', 'Money', 'Safety', 'Self improvement', 'Spanish', 'TEDxTalks', '[TEDxEID:47597]']",29,662,37,1,El dinero es poder | Ludi Córdoba Delgado | TEDxAnáhuacCancúnU,2022-07-01T16:23:07Z
323,hBPR_xt5e-M,"['Business', 'English', 'Start-up', 'Struggle', 'Success', 'TEDxTalks', '[TEDxEID:46725]']",29,498,24,1,How Constraints Liberate Our Imagination | Joe Harawira | TEDxKapiti,2022-07-01T16:20:58Z
324,9RbsugAG6O0,"['Cause', 'Depression', 'English', 'Health', 'Mental health', 'TEDxTalks', 'Vulnerability', '[TEDxEID:47582]']",29,258,10,0,Journey Inward | Ryan Mundy | TEDxWaterStreet,2022-07-01T16:17:49Z
325,09QLqrjegWc,"['Achievement', 'Adventure', 'Climate Change', 'English', 'Global Issues', 'TEDxTalks', 'Travel', '[TEDxEID:47582]']",29,646,22,4,"Why we all need to aviate, navigate, and communicate. | Travis Ludlow | TEDxWaterStreet",2022-07-01T16:10:24Z
326,UiPdk6EDfGA,"['Coding', 'Education', 'English', 'Machine Learning', 'TEDxTalks', 'Technology', '[TEDxEID:50335]']",29,409,7,0,Overcoming Our Unhealthy Dependence on Other People's Code | Dr. Michael Littman | TEDxGeorgiaTech,2022-07-01T16:09:38Z
327,H4IGVooPnDQ,"['Achievement', 'English', 'Life', 'Success', 'Surgery', 'TEDxTalks', '[TEDxEID:50335]']",29,1588,12,0,The Surgical Approach to Life | Dr. Raj Pandya | TEDxGeorgiaTech,2022-07-01T16:06:33Z
328,8tWCRxWQb5Y,"['Business', 'Empowerment', 'English', 'Ethics', 'Leadership', 'Management', 'Positive Thinking', 'TEDxTalks', '[TEDxEID:49894]']",29,1973,106,6,Secret Ingredient of a successful Business Owner | Kewal Kishan | TEDxKcMargSalon,2022-07-01T16:02:56Z
329,2QCFSEr4Dik,"['Art', 'Creation', 'Creativity', 'English', 'Immigration', 'Innovation', 'TEDxTalks', 'Theater', 'Vulnerability', '[TEDxEID:41516]']",29,257,15,0,Hacking the familiar | Jorge Lopes Ramos | TEDxUniversityofGreenwich,2022-07-01T16:01:55Z
330,2a-SNznPisE,"['Creativity', 'English', 'Entertainment', 'Ideas', 'Intelligence', 'Interactive', 'Pop Culture', 'Storytelling', 'TEDxTalks', '[TEDxEID:48738]']",29,612,42,5,Searching for the Questions | Berty Ashley | TEDxPDEU,2022-07-01T15:54:24Z
331,Q6BdMon3qpE,"['Brand', 'Business', 'English', 'Food', 'Leadership', 'Motivation', 'Success', 'TEDxTalks', '[TEDxEID:48738]']",29,574,32,6,How to build a successful brand | Sanam Kapoor | TEDxPDEU,2022-07-01T15:54:01Z
332,WJCH1hvQHTY,"['Design', 'Development', 'Empowerment', 'English', 'Entrepreneurship', 'Humanity', 'Innovation', 'TEDxTalks', 'Technology', '[TEDxEID:48738]']",29,326,25,2,Walking with Pride | Hunny Bhagchandani | TEDxPDEU,2022-07-01T15:53:06Z
333,4DjbUmjuhLk,"['Culture', 'English', 'Identity', 'Life', 'Music (topic)', 'Passion', 'Pop Culture', 'TEDxTalks', '[TEDxEID:48738]']",29,130,2,0,Ash King vs Ashutosh Ganguly | Ash King | TEDxPDEU,2022-07-01T15:51:59Z
334,-79x5SLra-g,"['Acceptance', 'Art', 'Body Image', 'English', 'Fashion', 'Life', 'Mental health', 'TEDxTalks', '[TEDxEID:47328]']",29,295,12,4,Let's give a middle finger to toxic beauty standards | Waleed Shah | TEDxAlQuoz,2022-07-01T15:49:26Z
335,n4AuwPhIMrE,"['Entertainment', 'Music (topic)', 'Spanish', 'TEDxTalks', 'TV', 'Work', '[TEDxEID:39501]']",29,257,8,2,"""Las apariencias engañan"" | Leonardo A (antes Leonardo Dantés) | TEDxCadizUniversity",2022-07-01T15:42:09Z
336,r574x97_wFI,"['English', 'Insects', 'Nature', 'Science', 'TEDxTalks', '[TEDxEID:48218]']",29,117,1,0,"Reimagining What ""Bugs"" Us About Bugs | Aimee Lynn Dupo | TEDxYouth@CSJL",2022-07-01T15:41:09Z
337,zPiNFGQJc-c,"['Activism', 'English', 'Global Issues', 'Social Media', 'TEDxTalks', '[TEDxEID:44652]']",29,303,4,0,Finding Your Action | Mayu Ono | TEDxYouth@GIISTokyo,2022-07-01T15:34:47Z
338,1d-BneBH1Q8,"['Activism', 'English', 'Global Issues', 'Social Justice', 'TEDxTalks', '[TEDxEID:44652]']",29,217,9,2,Every Action Counts: Youth Activism in Everyday Life | Jaime Smith | TEDxYouth@GIISTokyo,2022-07-01T15:34:21Z
339,Tq2Uhc2PPD8,"['Acceptance', 'Empowerment', 'English', 'Life', 'TEDxTalks', '[TEDxEID:44652]']",29,1585,40,5,How Confidence Can Change Your Life | Aisha Tochigi | TEDxYouth@GIISTokyo,2022-07-01T15:33:41Z
340,1KHE61-eiJE,"['Academic', 'Biology', 'Brain', 'English', 'Ideas', 'Neuroscience', 'Science', 'TEDxTalks', '[TEDxEID:48738]']",29,254,7,0,Traffic Jams in the Brain | Dr. Sandhya Koushika | TEDxPDEU,2022-07-01T15:33:09Z
341,y_Dn4-igf00,"['Change', 'English', 'Humanity', 'Life', 'Life Development', 'Opportunities', 'Personal growth', 'TEDxTalks', '[TEDxEID:49894]']",29,23917,159,8,Be Inspired | Take Action | Wake Up | Dr Sheetal Nair | TEDxKcMargSalon,2022-07-01T15:29:20Z
342,0ZjzYew4jm8,"['Academic', 'Classroom', 'Education', 'English', 'Innovation', 'Students', 'TEDxTalks', 'Teaching', '[TEDxEID:48738]']",29,204,4,0,Using City as a Classroom | Dr. Pooja Thomas | TEDxPDEU,2022-07-01T15:28:11Z
343,10uGVIJonJU,"['Empathy', 'English', 'Life', 'Mental health', 'Social Media', 'TEDxTalks', '[TEDxEID:44652]']",29,142,2,1,Invisible Lives Matter | Ken Hirano | TEDxYouth@GIISTokyo,2022-07-01T15:27:15Z
344,hs90DguOdF4,"['Achievement', 'English', 'Life', 'TEDxTalks', 'Writing', '[TEDxEID:48530]']",29,260,8,0,My Liberation from Anger through Writing with Love | Poojitha Tanjore | TEDxUniversityofStAndrews,2022-07-01T15:18:16Z
345,HdAfAktIK0g,"['English', 'Life', 'Literature', 'Philosophy', 'TEDxTalks', '[TEDxEID:44652]']",29,398,9,0,What is Tomorrow? | Carole Saunders | TEDxYouth@GIISTokyo,2022-07-01T15:13:51Z
346,ZgnPfyKFzi8,"['Art', 'Arts education', 'Children', 'Creativity', 'Imagination', 'TEDxTalks', 'Turkish', '[TEDxEID:49824]']",29,119,0,0,Sanat ile Ufkun Ötesine Yolculuk | Barış Karayazgan | TEDxYouth@LyceeNDS,2022-07-01T15:12:43Z
347,3dqwiksbKNU,"['Culture', 'Diversity', 'English', 'Life', 'Society', 'TEDxTalks', '[TEDxEID:44652]']",29,555,17,2,Is Japan in a cultural dilemma? | Kanak Arjunwadkar | TEDxYouth@GIISTokyo,2022-07-01T15:12:39Z
348,ouQMI16YxWM,"['English', 'Ethics', 'Life', 'Philosophy', 'TEDxTalks', 'Truth', 'Value', '[TEDxEID:51018]']",29,588,28,15,Practical Wisdom | Shanti Nathan Odayar | TEDxYouth@SSVM,2022-07-01T15:12:06Z
349,KPOpFt94lmA,"['Acceptance', 'Beauty', 'Health', 'Italian', 'Life', 'TEDxTalks', '[TEDxEID:48391]']",29,185,14,0,"Una vita di corsa, nuovi POV per vivere più consapevoli e felici | Daniela Bricola | TEDxLegnano",2022-07-01T15:11:51Z
350,Lhd1U3pQlT8,"['Cooking', 'Diet', 'Health', 'TEDxTalks', 'Turkish', 'Youth', '[TEDxEID:39448]']",29,282,6,1,Hayat Sevmediğin Yemeklerden Oluşan Bir Masada Oturmak İçin Kısa | BUKET ÇÜRÜK | TEDxGündoğduKoleji,2022-07-01T15:11:25Z
351,Nf2zgVieQbU,"['Activism', 'Family', 'Health', 'Italian', 'Pregnancy', 'Sexuality', 'TEDxTalks', '[TEDxEID:48391]']",29,199,8,0,The Fertility Gap:Why don't we have the kids we'd like to have? | Eleonora Voltolina | TEDxLegnano,2022-07-01T15:11:04Z
352,ZTJK--1Kf3U,"['Activism', 'Community', 'English', 'Global Issues', 'TEDxTalks', 'Youth', '[TEDxEID:46725]']",29,221,10,3,"Small Deeds Are Complete Rubbish | Anthony, Caleb & Brendan Hazel | TEDxKapiti",2022-07-01T15:10:33Z
353,qucvUrhCCe4,"['Art', 'Composing', 'Creativity', 'English', 'Innovation', 'Music (topic)', 'TEDxTalks', '[TEDxEID:46725]']",29,204,11,2,Turning Shared Information Into Music | AJ Crawshaw | TEDxKapiti,2022-07-01T15:10:00Z
354,Q5hhizGTZRs,"['Achievement', 'Entertainment', 'French', 'Self improvement', 'Sports', 'TEDxTalks', '[TEDxEID:48950]']",29,88,5,0,Ne jamais abandonner | Coumba Baradji | TEDxIESEGParis,2022-07-01T15:07:10Z
355,HXpqI_SCRoU,"['Body Image', 'French', 'Happiness', 'Humanities', 'Society', 'TEDxTalks', '[TEDxEID:48950]']",29,121,3,0,"À l’ère de l’influence, comment avoir un impact positif ? | Chloé Bidault | TEDxIESEGParis",2022-07-01T15:06:39Z
356,hMca4akQdlo,"['Art', 'Culture', 'French', 'Music (performance)', 'Song', 'TEDxTalks', '[TEDxEID:48950]']",29,39,1,0,Le Français qui chante et écrit en chinois | Dantès Dai Liang | TEDxIESEGParis,2022-07-01T15:06:19Z
357,NuqpwtgTj4U,"['Diversity', 'Education', 'French', 'Relationships', 'Society', 'TEDxTalks', '[TEDxEID:48950]']",29,183,11,6,"Le sentiment de différence, une pensée évolutive | Pierre Du Song | TEDxIESEGParis",2022-07-01T15:05:49Z
358,MS_h4sYOQxQ,"['French', 'Life', 'Self improvement', 'Sports', 'Storytelling', 'TEDxTalks', '[TEDxEID:48950]']",29,49,0,0,Le périple d'un rêve | Timothée Adolphe | TEDxIESEGParis,2022-07-01T15:05:34Z
359,G_Pq845HRPE,"['Achievement', 'Advertising', 'Business', 'Entrepreneurship', 'French', 'TEDxTalks', '[TEDxEID:48950]']",29,63,1,0,Entrepreneuriat : Comment se lancer ? | Valentin Richardot | TEDxIESEGParis,2022-07-01T15:05:05Z
360,zRCdaiC-dFc,"['Behavior', 'Business', 'French', 'Social Interaction', 'TEDxTalks', '[TEDxEID:48950]']",29,76,4,0,Développer de bonnes relations au travail ? Mission POSSIBLE ! | Drifa Choulet | TEDxIESEGParis,2022-07-01T15:04:44Z
361,tvh1pXmDYac,"['Activism', 'Ethics', 'Italian', 'Sex', 'Sexual Assault', 'Sexuality', 'Social Sciences', 'TEDxTalks', '[TEDxEID:48391]']",29,1995,34,0,"WHY WE SHOULD RETHINK HOW WE HAVE SEX, STARTING FROM CONSENT | Isotta Rossoni | TEDxLegnano",2022-07-01T15:01:25Z
362,bR3FW_Z4-hs,"['Disability', 'Education', 'Entertainment', 'Ideas', 'TEDxTalks', 'Turkish', 'Youth', '[TEDxEID:50190]']",29,47,3,0,"Engel, Başarılı Olmak için Bir Sorun Değil | İbrahim Dal | TEDxYouth@SivasKoleji",2022-07-01T15:01:23Z
363,rk-HCBuuY1c,"['English', 'Life', 'TEDxTalks', '[TEDxEID:49287]']",29,104,2,0,Fostering a dream | Francis Martinson | TEDxConcordiaCollege,2022-07-01T14:58:58Z
364,jJb5u1U_JPY,"['Achievement', 'Art', 'Business', 'English', 'Self improvement', 'Social Media', 'TEDxTalks', '[TEDxEID:46725]']",29,956,68,3,Learning and Grit Are Superpowers | Philip Sue | TEDxKapiti,2022-07-01T14:57:56Z
365,7FwdxP0J7x8,"['Academic', 'Business', 'Communication', 'Community', 'Connection', 'English', 'Goal-setting', 'TEDxTalks', '[TEDxEID:49400]']",29,407,8,4,How To Make the One Connection That Will Change Your Life | Gavin Lira | TEDxMayfieldHS,2022-07-01T14:52:42Z
366,j5vTE0KiNzM,"['Business', 'English', 'Leadership', 'TEDxTalks', '[TEDxEID:46725]']",29,285,8,0,Leadership Is Not About Age Or Experience | Monique Davidson | TEDxKapiti,2022-07-01T14:51:39Z
367,Jupo81E4T7A,"['Death', 'English', 'Life', 'TEDxTalks', '[TEDxEID:46725]']",29,245,6,0,Why We Need Death To Have A Life | Jared Tuoro | TEDxKapiti,2022-07-01T14:46:23Z
368,9P88SRXOpoI,"['English', 'Humanities', 'Mental health', 'TEDxTalks', 'Youth', '[TEDxEID:46725]']",29,556,30,0,Children Should Speak When Spoken To.. | Amy Skipper | TEDxKapiti,2022-07-01T14:46:06Z
369,5Vtid8fesbo,"['Education', 'Empowerment', 'Hope', 'Humanities', 'Italian', 'Leadership', 'Relationships', 'TEDxTalks', '[TEDxEID:48391]']",29,8191,230,38,La Pecora Nera. E' l'entusiasmo che fa la differenza? | Francesca Bardelli Nonino | TEDxLegnano,2022-07-01T14:39:08Z
370,o7GJYmsekWE,"['Activism', 'Diversity', 'Humanities', 'Identity', 'Italian', 'Perception', 'TEDxTalks', 'Work', '[TEDxEID:48391]']",29,355,21,2,Diversity and Inclusion: noi stessi al lavoro. | Alessandro Zollo | TEDxLegnano,2022-07-01T14:38:11Z
